BHARTI AIRTEL LIMITED 

PAN India 

Call Details of Mobile No '9714499703' from '01-Jun-2025' to '05-Jun-2026' 

Target No,Call Type,TOC,B Party No,LRN No,LRN TSP-LSA,Date,Time,Dur(s),First CGI Lat/Long,First CGI,Last CGI Lat/Long,Last CGI,SMSC No,Service Type,IMEI,IMSI,Call Fow No,Roam Nw,SW & MSC ID,IN TG,OUT TG,Vowifi First UE IP,Port1,Vowifi Last UE IP,Port2
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',15:14:06,0,,404-98-8435-179614978,,---,'917016075018',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',15:14:07,0,,404-98-8435-179614978,,---,'917016075018',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',15:14:08,0,,404-98-8435-179614978,,---,'917016075018',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',15:15:21,32,20.94596/72.91623,404-98-8435-233466194,20.94974/72.91438,404-98-8435-231455496,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',15:40:13,40,21.2064/72.83955,404-98-8248-230638337,21.2064/72.83955,404-98-8248-230638337,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.57.101.149,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9638822152',4106,VODA-GJ,'15/04/2026',15:46:32,23,21.20733/72.84129,404-98-8222-242312711,21.20733/72.84129,404-98-8222-242312711,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.5.62.236,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',SMT,Post,'51403F',,-,'15/04/2026',15:49:46,0,21.21027/72.84229,404-98-8222-236548463,,---,'918299901123',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'8433986478',3007,AIR-MU,'15/04/2026',15:50:13,0,21.21027/72.84229,404-98-8222-236548463,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'7428394126',2727,AIR-DL,'15/04/2026',15:50:13,0,21.21027/72.84229,404-98-8222-236548463,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'7039000283',3076,IDEA-MU,'15/04/2026',15:50:14,0,21.21027/72.84229,404-98-8222-236548463,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'AD-HDFCBK-S',,-,'15/04/2026',15:50:16,0,21.21027/72.84229,404-98-8222-236548463,,---,'919892082061',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VA-CANBNK-S',,-,'15/04/2026',15:50:20,0,21.21027/72.84229,404-98-8222-236548463,,---,'919885705604',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VD-HDFCBN-S',,-,'15/04/2026',15:50:21,0,21.21027/72.84229,404-98-8222-236548463,,---,'919811002444',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VA-CANBNK-S',,-,'15/04/2026',15:52:22,0,21.21027/72.84229,404-98-8222-236548463,,---,'919885705602',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',DSM,Post,'8861386944',3002,AIR-KA,'15/04/2026',16:01:05,0,21.21115/72.84742,404-98-8222-231455079,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'8861386944',3002,AIR-KA,'15/04/2026',16:01:05,0,21.21115/72.84742,404-98-8222-231455079,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VA-CANBNK-S',,-,'15/04/2026',16:01:21,0,21.21115/72.84742,404-98-8222-231455079,,---,'919885705603',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VA-CANBNK-S',,-,'15/04/2026',16:02:17,0,21.21115/72.84742,404-98-8222-231455079,,---,'919885705602',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'8861386944',3002,AIR-KA,'15/04/2026',16:02:29,0,21.21115/72.84742,404-98-8222-231455079,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',DSM,Post,'8861386944',3002,AIR-KA,'15/04/2026',16:02:30,0,21.21115/72.84742,404-98-8222-231455079,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'8861386944',3002,AIR-KA,'15/04/2026',16:03:05,0,21.21115/72.84742,404-98-8222-231455089,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',DSM,Post,'8861386944',3002,AIR-KA,'15/04/2026',16:03:06,0,21.21115/72.84742,404-98-8222-231455089,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'AD-Airtel-S',,-,'15/04/2026',16:03:21,0,21.21115/72.84742,404-98-8222-231455089,,---,'919892341012',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'52263',,-,'15/04/2026',16:03:22,0,21.21115/72.84742,404-98-8222-231455089,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VA-CANBNK-S',,-,'15/04/2026',16:03:22,0,21.21115/72.84742,404-98-8222-231455089,,---,'919885705603',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VM-CANBNK-S',,-,'15/04/2026',16:03:50,0,21.21115/72.84742,404-98-8222-231455089,,---,'919702000556',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VA-CANBNK-S',,-,'15/04/2026',16:04:03,0,21.21115/72.84742,404-98-8222-231455089,,---,'919885705602',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VA-CANBNK-S',,-,'15/04/2026',16:04:19,0,21.21115/72.84742,404-98-8222-231455089,,---,'919885705602',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'8861386944',3002,AIR-KA,'15/04/2026',16:04:35,0,21.21115/72.84742,404-98-8222-231455089,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',DSM,Post,'8861386944',3002,AIR-KA,'15/04/2026',16:04:36,0,21.21115/72.84742,404-98-8222-231455089,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'AD-Airtel-S',,-,'15/04/2026',16:04:49,0,21.21115/72.84742,404-98-8222-231455089,,---,'919892341012',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMO,Post,'52263',,-,'15/04/2026',16:04:50,0,21.21115/72.84742,404-98-8222-231455089,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JK-CANBNK-S',,-,'15/04/2026',16:04:50,0,21.21115/72.84742,404-98-8222-231455089,,---,'917003077801',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VA-CANBNK-S',,-,'15/04/2026',16:05:10,0,21.21115/72.84742,404-98-8222-231455089,,---,'919885705603',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'VM-CANBNK-S',,-,'15/04/2026',16:05:50,0,21.21115/72.84742,404-98-8222-231455089,,---,'919702000556',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',IN,Post,'8401382222',3576,AIR-GJ,'15/04/2026',16:06:22,163,21.21115/72.84742,404-98-8222-231455059,21.21115/72.84742,404-98-8222-231455059,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'8758237575',2728,AIR-GJ,'15/04/2026',16:15:48,24,21.21546/72.86337,404-98-8245-231170385,21.21546/72.86337,404-98-8245-231170385,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',SMT,Post,'JD-CANBNK-S',,-,'15/04/2026',16:22:16,0,21.22788/72.89142,404-98-8307-240836103,,---,'917011075005',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',16:26:16,0,21.23121/72.89262,404-98-8307-241910373,,---,'917016075022',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',16:26:17,0,21.23121/72.89262,404-98-8307-241910373,,---,'917016075022',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JG-JIOINF-S',,-,'15/04/2026',16:26:18,0,21.23121/72.89262,404-98-8307-241910373,,---,'917016075022',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',OUT,Post,'8849946676',3088,RJIL-GJ,'15/04/2026',17:49:56,107,21.23121/72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,10.55.253.48,,,,
'9714499703',OUT,Post,'9638822152',4106,VODA-GJ,'15/04/2026',20:02:56,9,21.29198/72.87794,404-98-5331-38728,21.29198/72.87794,404-98-5331-38727,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898092816',,2314,,,,
'9714499703',IN,Post,'8128165664',3088,RJIL-GJ,'16/04/2026',10:49:29,40,21.29669/72.8915,404-98-8331-230711635,21.29198/72.87794,404-98-8331-241631313,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'9662872755',2728,AIR-GJ,'16/04/2026',11:05:16,29,21.29302/72.89989,404-98-8331-232020232,21.29302/72.89989,404-98-8331-232020232,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc098.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'9662872755',2728,AIR-GJ,'16/04/2026',11:07:26,13,21.29302/72.89989,404-98-8331-232020327,21.29302/72.89989,404-98-8331-232020307,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc098.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'8401382222',3576,AIR-GJ,'16/04/2026',11:08:34,143,21.29327/72.88987,404-98-8331-221532673,21.29669/72.8915,404-98-8331-230711635,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc098.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'8128778750',4106,VODA-GJ,'16/04/2026',11:12:35,25,21.29327/72.88987,404-98-8331-221532680,21.29198/72.87794,404-98-8331-241631313,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,10.92.26.67,,,,
'9714499703',IN,Post,'8128165664',3088,RJIL-GJ,'16/04/2026',11:28:47,16,21.23121/72.89262,404-98-8307-241910278,21.23121/72.89262,404-98-8307-241910278,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'8460681659',2728,AIR-GJ,'16/04/2026',13:31:30,40,21.23121/72.89262,404-98-8307-241910353,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'9638822152',4106,VODA-GJ,'16/04/2026',13:42:48,56,21.23121/72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,,,,,
'9714499703',OUT,Post,'8128778750',4106,VODA-GJ,'16/04/2026',13:49:26,21,21.23121/72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,172.24.9.78,,,,
'9714499703',OUT,Post,'8128778750',4106,VODA-GJ,'16/04/2026',13:50:29,16,21.22852/72.89744,404-98-8307-240847729,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,,,,,
'9714499703',IN,Post,'8347865461',3088,RJIL-GJ,'16/04/2026',13:54:22,110,21.23121/72.89262,404-98-8307-241910353,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'8849946676',3088,RJIL-GJ,'16/04/2026',14:14:05,9,21.23121/72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,10.55.253.48,,,,
'9714499703',OUT,Post,'9727528944',4106,VODA-GJ,'16/04/2026',14:51:19,98,21.23121/72.89262,404-98-8307-241910278,21.23121/72.89262,404-98-8307-241910278,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,10.92.26.67,,,,
'9714499703',IN,Post,'6351596338',3088,RJIL-GJ,'16/04/2026',14:58:27,225,21.23121/72.89262,404-98-8307-241910353,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.5.62.236,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'8849946676',3088,RJIL-GJ,'16/04/2026',15:52:04,16,21.22852/72.89744,404-98-8307-240847729,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc857.mcc405.3gppnetwork.org,,,,
'9714499703',OUT,Post,'8401382222',3576,AIR-GJ,'16/04/2026',17:35:10,198,21.23121/72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc098.mcc404.3gppnetwork.org,,,,
'9714499703',SMT,Post,'8128778750',4106,VODA-GJ,'16/04/2026',17:39:41,0,21.23121/72.89262,404-98-8307-241910373,,---,'919825001002',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',OUT,Post,'7861987040',2728,AIR-GJ,'16/04/2026',17:40:20,7,21.23121/72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc098.mcc404.3gppnetwork.org,,,,
'9714499703',OUT,Post,'8128778750',4106,VODA-GJ,'16/04/2026',17:43:58,21,21.23121/72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,172.24.9.78,,,,
'9714499703',OUT,Post,'8128778750',4106,VODA-GJ,'16/04/2026',17:44:29,21,21.23121/72.89262,404-98-8307-241910373,21.23121/72.89262,404-98-8307-241910353,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,10.92.26.67,,,,
'9714499703',OUT,Post,'8849946676',3088,RJIL-GJ,'16/04/2026',18:18:39,28,21.212/72.89314,404-98-8330-220943622,22.57978/72.96996,404-98-8330-241573202,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,,,,,
'9714499703',IN,Post,'8849946676',3088,RJIL-GJ,'16/04/2026',19:14:02,74,21.20464/72.87836,404-98-8330-234346502,21.20713/72.89108,404-98-8330-230521426,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.5.62.236,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'8849946676',3088,RJIL-GJ,'16/04/2026',19:15:22,39,21.20713/72.89108,404-98-8330-230521426,21.20713/72.89108,404-98-8330-230521426,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.5.50.180,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'9909321002',3088,RJIL-GJ,'16/04/2026',19:30:53,29,21.21876/72.89545,404-98-8307-240911185,21.21876/72.89545,404-98-8307-240911185,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',10.5.62.236,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',IN,Post,'8401382222',3576,AIR-GJ,'16/04/2026',19:34:32,40,21.21876/72.89545,404-98-8307-240911106,21.21876/72.89545,404-98-8307-240911106,'-',Voice,'866588055801530','404980531580367',-,AIR GJ,'9898081890',ims.mnc092.mcc404.3gppnetwork.org,ims.mnc092.mcc404.3gppnetwork.org,,,,
'9714499703',SMO,Post,'9643260909',4108,VODA-DL,'16/04/2026',19:36:24,0,21.21876/72.89545,404-98-8307-240911205,,---,'919892048351',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
'9714499703',SMT,Post,'JX-YESBNK-S',,-,'16/04/2026',19:36:27,0,21.21876/72.89545,404-98-8307-240911205,,---,'917019075023',SMS,'866588055801530','404980531580367',-,AIR GJ,'9898081890',,,,,,
