operator,target_number,b_party_number,call_type,timestamp,duration,latitude,longitude,first_cgi,first_bts_location,last_cgi,imei
vi,08980261614,07990497400,Incoming,2026-02-18T21:21:47,30,,,404056205320222,OPEN PLOT OF MR AMITBHAI VEENUBHAI CHAVDA GOPAL PARK NR SHIVSAGAR HALL PLOT NO 117 MOJE MAVDI DIST RAJKOT-360004,404056205320221,869236064978130
vi,08980261614,09326216146,Outgoing,2026-02-23T12:50:42,15,,,404056205820323,OPEN PLOT OF MR ASHIF SABBIRHUSEN DAL NR STREET NO 8 MOCHIBAZAR 6 PLOT NO 290 GANDHIGRAM MOJE AND DIST-RAJKOT  GUJARAT-360001,404056205825283,869236064978130
vi,918980261614,919724693286,Incoming,2026-02-28T12:40:44,18,,,404226078557141,Sagar Developers saniya film studio Rd Chinchoti Maharashtra 401208 Chinchoti Palghar-401208,404226078557141,869236064978130
vi,08980261614,09558554600,Outgoing,2026-03-03T20:45:12,15,,,404056205520772,BUILDING OF MUNICIPALITY COMMERCIAL COMPLEX  MAHUDI PLOT  BEHIND FIRE STATION ALKA SOCIETY CHANDRESH NAGAR  RAJKOT  DIST-RAJKOT  GUJARAT-360001,404056205510162,869236064978130
vi,08980261614,08999499899,Incoming,2026-03-09T11:53:09,54,,,404056205825283,OPEN SPACE OF RMC RMC PLOT PR2 NEAR AASTHA ENCLAVE N/R HCG HOSPITAL 150FT ROADRAJKOT PINCODE 360005 POLICE STATION RAJKOT,404056205825283,869236064978130
vi,08980261614,09429268201,Incoming,2026-03-13T11:47:45,79,,,404056205825283,OPEN SPACE OF RMC RMC PLOT PR2 NEAR AASTHA ENCLAVE N/R HCG HOSPITAL 150FT ROADRAJKOT PINCODE 360005 POLICE STATION RAJKOT,404056205825283,869236064978130
vi,08980261614,09772303390,Outgoing,2026-03-18T12:13:46,22,,,404056205825283,OPEN SPACE OF RMC RMC PLOT PR2 NEAR AASTHA ENCLAVE N/R HCG HOSPITAL 150FT ROADRAJKOT PINCODE 360005 POLICE STATION RAJKOT,404056205825283,869236064978130
vi,08980261614,09664658749,Outgoing,2026-03-23T12:08:25,21,,,404056205813061,INDUS ACQUIRED RAJKOT GANDHIGRAM SITE ON BUILDING OF MADHAV COMPLEX NR RAMAPIR CHOWKDI GANDHIGRAM RAJKOT DIST-RAJKOT  GUJARAT-360007,404056205813061,869236064978130
vi,08980261614,09664658749,Incoming,2026-03-23T12:51:37,28,,,404056205825283,OPEN SPACE OF RMC RMC PLOT PR2 NEAR AASTHA ENCLAVE N/R HCG HOSPITAL 150FT ROADRAJKOT PINCODE 360005 POLICE STATION RAJKOT,404056205825283,869236064978130
vi,08980261614,08980619548,Incoming,2026-03-23T12:57:08,14,,,404056205825283,OPEN SPACE OF RMC RMC PLOT PR2 NEAR AASTHA ENCLAVE N/R HCG HOSPITAL 150FT ROADRAJKOT PINCODE 360005 POLICE STATION RAJKOT,404056205825283,869236064978130
vi,08980261614,07778065460,Incoming,2026-03-23T12:59:47,15,,,404056205825283,OPEN SPACE OF RMC RMC PLOT PR2 NEAR AASTHA ENCLAVE N/R HCG HOSPITAL 150FT ROADRAJKOT PINCODE 360005 POLICE STATION RAJKOT,404056205825283,869236064978130
vi,08980261614,07778065460,Outgoing,2026-03-23T13:13:42,24,,,404056205812383,BUILDING OF MADHUVAN APARTMENT NR MADHAPAR CHOKDI 15FT ROAG ROAD OMKAR PARK MOJE-MADHAPAR TAL & DIST-RAJKOT  GUJRAT-360006,404056205825283,869236064978130
